tile_name,north,east,south,west
1,meadow,meadow,meadow,meadow
2,meadow,meadow,meadow,meadow
3,meadow,meadow,meadow,river
4a,meadow,meadow,river,river
4b,meadow,meadow,river,river
5,meadow,meadow,river,river
6,meadow,meadow,river,river
7,meadow,meadow,river,river
8a,meadow,river,meadow,river
8b,meadow,river,meadow,river
9,meadow,river,meadow,river
10a,meadow,river,meadow,river
10b,meadow,river,meadow,river
11,meadow,river,meadow,river
12a,meadow,river,river,river
12b,meadow,river,river,river
13,meadow,river,river,river
14,meadow,river,river,river
15,meadow,river,river,river
16a,meadow,river,river,river
16b,meadow,river,river,river
17,river,river,river,river
18,river,river,river,river
19a,forest,meadow,meadow,meadow
19b,forest,meadow,meadow,meadow
20,forest,meadow,meadow,meadow
21,forest,meadow,meadow,meadow
22,forest,meadow,meadow,river
23,forest,meadow,river,meadow
24,forest,meadow,river,meadow
25,forest,river,meadow,meadow
26,forest,river,meadow,meadow
27a,forest,meadow,river,river
27b,forest,meadow,river,river
28,forest,meadow,river,river
29,forest,river,river,meadow
30,forest,river,river,meadow
31,forest,river,river,meadow
32,forest,river,meadow,river
33,forest,river,meadow,river
34,forest,forest,meadow,meadow
35a,forest,forest,meadow,meadow
35b,forest,forest,meadow,meadow
36a,forest,forest,meadow,meadow
36b,forest,forest,meadow,meadow
37a,forest,forest,meadow,meadow
37b,forest,forest,meadow,meadow
37c,forest,forest,meadow,meadow
38,forest,forest,meadow,meadow
39,forest,meadow,forest,meadow
40a,forest,meadow,forest,meadow
40b,forest,meadow,forest,meadow
41,forest,meadow,forest,meadow
42,forest,forest,meadow,river
43,forest,forest,river,meadow
44,forest,forest,river,meadow
45,forest,meadow,forest,river
46,forest,forest,river,river
47a,forest,forest,river,river
47b,forest,forest,river,river
48,forest,forest,river,river
49,forest,forest,river,river
50,forest,forest,river,river
51,forest,river,forest,river
52,forest,river,forest,river
53,forest,river,forest,river
54,forest,river,forest,river
55,forest,river,forest,river
56,forest,forest,forest,meadow
57,forest,forest,forest,meadow
58,forest,forest,forest,meadow
59,forest,forest,forest,meadow
60,forest,forest,forest,meadow
61,forest,forest,forest,river
62,forest,forest,forest,river
63,forest,forest,forest,river
64,forest,forest,forest,river
65,forest,forest,forest,forest
